x1,x2,y
7,9,1
66,36,0
49,81,1
79,64,0
18,1,1
1,46,1
42,43,1
32,71,1
5,77,1
70,25,0
63,89,0
35,94,1
86,4,0
28,82,1
21,9,1
76,9,0
69,94,0
77,35,0
95,71,0
39,7,1
36,30,1
81,35,0
18,7,1
74,96,0
78,5,0
32,52,1
85,41,0
74,56,0
91,53,0
17,83,1
4,56,1
35,46,1
67,51,0
24,98,1
14,100,1
92,82,0
79,4,0
100,2,0
80,74,0
75,93,0
22,100,1
73,45,0
79,46,0
77,66,0
33,5,1
15,16,1
78,59,0
59,50,0
14,48,1
60,91,0
59,43,0
29,13,1
5,91,1
40,37,1
50,42,0
2,67,1
35,40,1
20,1,1
24,94,1
32,100,1
76,29,0
36,19,1
47,75,1
49,69,1
42,79,1
82,85,0
46,18,1
85,8,0
28,100,1
36,93,1
76,10,0
31,36,1
22,3,1
58,26,0
55,76,0
96,22,0
100,21,0
28,3,1
69,5,0
72,88,0
89,64,0
99,60,0
74,14,0
95,59,0
35,77,1
91,38,0
22,95,1
9,25,1
2,100,1
23,7,1
80,11,0
37,26,1
14,94,1
47,27,1
13,83,1
18,35,1
76,85,0
75,98,0
84,42,0
70,57,0
53,13,0
